Дата,Максимальная,Минимальная,Средняя,Атмосферное,Скорость ветра,Осадки,Эффективная
19.07.19,28,17,23,,3,0,22.7
20.07.19,28,15,23,,3,0,21.7
21.07.19,28,16,23,,3,0,21.6
22.07.19,25,14,20,,3,,19.2
23.07.19,25,13,19,,3,0,18.3
24.07.19,27,14,21,,1,0,21.4
25.07.19,29,15,23,,3,0,22.5
26.07.19,30,18,25,,4,0,23.3
27.07.19,29,15,23,,3,0,21.7
28.07.19,25,14,20,,5,0,17.6
29.07.19,18,8,14,,4,1,11.3
30.07.19,19,8,14,,3,0,11.9
31.07.19,19,10,14,,4,,11.0
01.08.19,16,10,12,,5,,9.2
02.08.19,18,12,14,,4,,12.1
03.08.19,19,11,15,,2,0,14.3
04.08.19,23,12,18,,3,,16.2
05.08.19,23,10,15,,6,,12.2
06.08.19,15,10,13,,3,,10.8
07.08.19,20,11,16,,3,,14.3
08.08.19,23,14,18,,2,,18.2
09.08.19,27,16,21,,5,,19.6
10.08.19,26,15,20,,2,,20.1
11.08.19,20,14,17,,2,,16.7
12.08.19,15,11,13,,8,,7.6
13.08.19,18,9,14,,7,0,9.8
14.08.19,23,12,17,,3,0,16.1
15.08.19,26,11,19,,1,0,19.5
16.08.19,29,16,23,,2,0,23.4
17.08.19,30,19,25,,2,0,24.6
18.08.19,33,20,24,,3,,23.6
19.08.19,33,20,27,,3,0,25.9
20.08.19,30,18,24,,3,0,24.2
21.08.19,27,15,21,,3,0,21.0
22.08.19,27,15,22,,1,0,22.6
23.08.19,28,15,21,,3,0,20.6
24.08.19,24,11,18,,3,0,16.4
25.08.19,24,9,18,,5,0,15.1
26.08.19,20,10,15,,4,0,12.4
27.08.19,19,11,15,,3,,13.4
28.08.19,16,7,12,,8,,6.4
29.08.19,15,5,11,,7,0,5.1
30.08.19,15,4,10,,5,0,6.5
31.08.19,17,5,12,,4,0,8.5
01.09.19,17,6,12,,3,0,9.8
02.09.19,18,6,12,,2,0,10.7
03.09.19,18,8,14,,3,0,11.4
04.09.19,18,7,14,,3,0,11.5
05.09.19,21,6,14,,2,0,12.3
06.09.19,21,6,15,,1,0,14.0
07.09.19,21,7,14,,2,0,12.4
08.09.19,21,7,14,,2,0,12.6
09.09.19,23,9,17,,3,0,15.3
10.09.19,23,9,17,,3,0,14.7
11.09.19,22,8,15,,1,0,14.3
12.09.19,24,8,16,,1,0,15.3
13.09.19,26,10,18,,2,0,17.1
14.09.19,26,11,20,,4,0,17.3
15.09.19,16,7,13,,2,,11.3
16.09.19,15,8,11,,4,,8.6
17.09.19,20,8,14,,5,,10.8
18.09.19,17,8,13,,2,,11.0
19.09.19,14,7,10,,5,,5.9
20.09.19,13,6,9,,3,0,6.9
21.09.19,12,1,6,,2,,4.1
22.09.19,10,1,6,,4,,1.9
23.09.19,8,2,4,,5,,-0.3
24.09.19,8,2,5,,3,,1.7
25.09.19,8,3,6,,1,0,4.4
26.09.19,10,3,7,,2,0,4.2
27.09.19,13,1,8,,3,0,5.6
28.09.19,11,4,6,,3,2,3.3
29.09.19,8,3,6,,2,0,3.2
30.09.19,13,3,10,,5,0,5.5
01.10.19,15,9,12,,7,1,7.3
02.10.19,16,10,13,,5,0,9.7
03.10.19,19,8,13,,4,0,10.7
04.10.19,21,7,15,,5,0,11.6
05.10.19,22,10,17,,8,0,10.6
06.10.19,22,10,16,,5,0,11.4
07.10.19,22,4,12,,7,1,6.0
08.10.19,7,3,5,,2,2,1.9
09.10.19,6,1,4,,2,8,1.3
10.10.19,10,2,7,,4,1,3.6
11.10.19,12,6,9,,5,8,5.6
12.10.19,13,6,9,,2,8,7.8
13.10.19,11,5,9,,5,1,5.3
14.10.19,14,8,10,,3,0,7.9
15.10.19,18,5,11,,5,3,7.7
16.10.19,6,-1,3,,4,0,-0.6
17.10.19,11,1,7,,6,0,1.9
18.10.19,15,5,10,,5,0,6.6
19.10.19,10,2,6,,3,0,2.8
20.10.19,6,2,4,,2,0,1.1
21.10.19,12,4,9,,5,0,5.2
22.10.19,13,8,10,,3,2,8.3
23.10.19,13,7,11,,4,0,7.9
24.10.19,14,10,11,,1,0,10.7
25.10.19,14,4,10,,2,0,7.9
26.10.19,16,4,11,,5,0,7.7
27.10.19,11,10,11,,5,2,7.2
28.10.19,13,3,9,,5,0,5.4
29.10.19,8,-2,2,,2,0,-0.5
30.10.19,4,-4,0,,2,0,-3.1
31.10.19,0,-3,-2,,4,6,-6.1
01.11.19,-3,-7,-5,,4,0,-9.7
02.11.19,0,-7,-2,,6,0,-8.4
03.11.19,0,-6,-3,,3,0,-6.5
04.11.19,2,-3,1,,6,0,-5.0
05.11.19,8,0,5,,7,0,-0.5
06.11.19,9,5,8,,7,1,2.7
07.11.19,14,7,10,,6,0,5.8
08.11.19,8,0,3,,3,4,0.2
09.11.19,0,-2,-1,,4,8,-5.3
10.11.19,1,-2,0,,3,0,-3.5
11.11.19,1,-3,-1,,3,0,-4.1
12.11.19,6,-1,3,,3,0,-0.2
13.11.19,6,2,4,,4,1,0.5
14.11.19,2,0,0,,2,0,-2.5
15.11.19,1,-2,0,,3,0,-4.0
16.11.19,4,-2,1,,4,0,-3.5
17.11.19,1,-2,0,,3,0,-3.2
18.11.19,3,0,2,,2,0,-0.2
19.11.19,3,-13,-3,,5,0,-7.9
20.11.19,-10,-16,-14,,4,0,-19.2
21.11.19,-9,-17,-13,,2,0,-17.5
22.11.19,-4,-14,-9,,3,0,-13.3
23.11.19,-2,-12,-8,,3,0,-12.7
24.11.19,-4,-12,-9,,2,0,-12.9
25.11.19,-5,-13,-10,,1,0,-12.7
26.11.19,-4,-12,-9,,3,0,-13.2
27.11.19,-7,-10,-8,,4,0,-13.2
28.11.19,-3,-11,-7,,4,0,-12.2
29.11.19,-1,-11,-6,,4,0,-10.8
30.11.19,-3,-5,-4,,4,3,-8.9
01.12.19,-1,-6,-3,,3,2,-6.8
02.12.19,-1,-12,-6,,4,0,-11.1
03.12.19,-6,-10,-7,,4,0,-12.4
04.12.19,-5,-8,-7,,3,4,-11.4
05.12.19,0,-8,-3,,4,2,-7.4
06.12.19,2,-2,1,,5,1,-4.1
07.12.19,1,-2,-1,,5,0,-6.2
08.12.19,3,-2,1,,6,0,-4.2
09.12.19,1,-2,0,,4,0,-3.9
10.12.19,-1,-4,-2,,3,0,-6.0
11.12.19,1,-6,-2,,3,0,-5.4
12.12.19,-1,-11,-6,,3,0,-9.7
13.12.19,-7,-14,-12,,1,0,-14.9
14.12.19,-9,-15,-12,,3,0,-17.0
15.12.19,-5,-12,-7,,4,0,-12.0
16.12.19,-1,-5,-4,,5,4,-9.5
17.12.19,1,-4,0,,3,3,-3.6
18.12.19,1,-1,0,,2,0,-2.4
19.12.19,3,-1,1,,5,5,-3.6
20.12.19,1,-2,-2,,9,0,-9.4
21.12.19,-2,-8,-4,,5,0,-9.1
22.12.19,-3,-8,-5,,5,0,-10.6
23.12.19,-4,-8,-6,,6,0,-11.8
24.12.19,-6,-14,-9,,4,0,-14.3
25.12.19,-8,-15,-12,,3,0,-17.1
26.12.19,-7,-13,-10,,3,0,-14.4
27.12.19,-6,-12,-9,,2,0,-12.6
28.12.19,-6,-13,-9,,3,1,-13.0
29.12.19,-6,-15,-9,,4,0,-14.6
30.12.19,-7,-18,-11,,4,0,-16.5
31.12.19,-2,-9,-4,,7,10,-11.0
