Дата,Максимальная,Минимальная,Средняя,Атмосферное,Скорость ветра,Осадки,Эффективная
27.02.19,6,2,4,,3,27,1.2
28.02.19,8,0,4,,3,3,0.9
01.03.19,6,1,4,,6,8,-0.8
02.03.19,8,2,5,,3,14,1.7
03.03.19,7,-1,4,,3,6,0.3
04.03.19,10,-2,4,,3,0,0.6
05.03.19,14,-1,8,,4,0,4.4
06.03.19,15,6,10,,4,1,6.7
07.03.19,11,5,8,,3,13,5.6
08.03.19,11,3,7,,4,0,3.9
09.03.19,16,3,10,,3,0,7.6
10.03.19,17,6,11,,3,0,8.0
11.03.19,15,7,12,,5,5,7.9
12.03.19,21,11,15,,5,0,11.7
13.03.19,14,8,11,,3,8,8.7
14.03.19,12,8,9,,2,15,7.6
15.03.19,12,8,10,,2,4,8.1
16.03.19,10,7,8,,3,27,5.4
17.03.19,8,4,7,,3,26,3.9
18.03.19,10,4,8,,3,10,4.9
19.03.19,12,3,8,,3,0,4.8
20.03.19,12,3,8,,3,0,5.9
21.03.19,12,7,9,,3,0,6.2
22.03.19,11,6,9,,3,3,6.0
23.03.19,9,0,5,,4,18,1.7
24.03.19,10,0,5,,3,1,1.3
25.03.19,10,-1,5,,3,0,1.7
26.03.19,12,0,7,,3,0,4.3
27.03.19,13,3,9,,3,0,6.7
28.03.19,11,4,7,,3,19,4.1
29.03.19,9,2,5,,3,13,1.7
30.03.19,10,0,6,,3,0,2.3
31.03.19,13,1,9,,3,0,6.0
01.04.19,13,5,9,,4,0,5.7
02.04.19,10,5,8,,3,18,5.3
03.04.19,12,5,9,,3,2,6.5
04.04.19,12,4,8,,3,0,5.7
05.04.19,17,3,11,,4,0,7.5
06.04.19,17,7,12,,3,0,9.7
07.04.19,19,5,13,,3,0,10.5
08.04.19,21,7,15,,2,0,13.1
09.04.19,23,8,17,,3,0,14.8
10.04.19,22,11,16,,3,1,14.3
11.04.19,20,9,15,,3,0,13.1
12.04.19,18,11,14,,3,0,12.4
13.04.19,19,11,15,,3,0,12.9
14.04.19,22,10,17,,4,0,14.1
15.04.19,16,12,13,,4,12,11.1
16.04.19,15,10,12,,4,4,9.8
17.04.19,15,10,12,,3,0,10.5
18.04.19,12,10,11,,4,1,8.4
19.04.19,14,9,11,,3,13,8.8
20.04.19,13,9,10,,3,4,7.6
21.04.19,13,7,11,,2,1,9.0
22.04.19,14,8,11,,2,0,9.7
23.04.19,15,9,12,,2,0,10.7
24.04.19,15,8,12,,3,0,10.2
25.04.19,16,7,12,,3,0,9.7
26.04.19,20,7,14,,3,0,12.1
27.04.19,18,9,14,,2,0,12.6
28.04.19,22,9,15,,2,0,13.9
29.04.19,20,9,15,,3,0,13.1
30.04.19,25,12,20,,4,0,17.5
01.05.19,26,15,21,,4,0,18.6
02.05.19,24,14,18,,3,0,16.7
03.05.19,17,10,14,,2,41,12.8
04.05.19,17,8,14,,2,0,12.7
05.05.19,19,12,16,,3,0,15.1
06.05.19,26,14,20,,4,0,18.4
07.05.19,28,17,22,,4,0,20.6
08.05.19,18,13,16,,5,4,14.1
09.05.19,17,12,14,,3,31,13.0
10.05.19,19,12,15,,2,1,14.7
11.05.19,21,11,16,,2,0,15.6
12.05.19,18,12,16,,2,1,15.4
13.05.19,19,12,16,,2,0,15.3
14.05.19,20,10,17,,3,0,15.4
15.05.19,22,12,18,,3,0,16.4
20.05.19,21,15,19,,2,0,19.1
21.05.19,23,14,20,,3,0,19.7
22.05.19,25,17,21,,3,1,20.2
23.05.19,23,15,19,,3,0,18.4
24.05.19,26,14,21,,3,0,20.3
25.05.19,25,17,21,,4,5,19.6
26.05.19,21,16,18,,2,2,18.2
27.05.19,22,15,19,,3,6,18.6
28.05.19,24,14,20,,3,0,19.3
29.05.19,28,15,23,,4,0,21.7
30.05.19,29,18,24,,3,0,24.1
31.05.19,25,17,22,,3,0,22.0
01.06.19,25,18,22,,2,0,23.6
02.06.19,27,20,23,,3,0,24.3
03.06.19,27,21,24,,2,1,25.6
04.06.19,27,21,24,,2,1,25.3
05.06.19,28,20,24,,3,0,25.0
06.06.19,27,20,24,,4,0,24.1
07.06.19,28,21,24,,4,0,24.5
08.06.19,27,21,24,,4,0,24.4
09.06.19,28,20,24,,3,0,24.9
10.06.19,31,20,26,,3,0,26.9
11.06.19,30,23,26,,3,0,27.3
12.06.19,31,22,26,,3,0,26.9
13.06.19,27,20,24,,3,0,24.6
14.06.19,28,19,24,,3,0,25.3
15.06.19,29,21,25,,3,0,26.3
16.06.19,30,21,26,,4,0,25.9
17.06.19,30,21,26,,3,0,26.7
18.06.19,30,22,26,,3,0,26.7
19.06.19,29,21,25,,3,0,25.6
20.06.19,30,20,26,,3,17,26.9
21.06.19,29,22,25,,3,0,26.4
22.06.19,29,22,26,,3,0,27.0
23.06.19,29,23,26,,2,0,28.4
24.06.19,30,22,26,,3,1,27.3
25.06.19,30,23,27,,3,0,28.9
26.06.19,31,24,27,,3,0,29.3
27.06.19,29,23,26,,3,0,27.2
28.06.19,29,22,25,,4,23,25.4
29.06.19,27,17,23,,3,2,22.6
30.06.19,25,15,20,,4,0,18.6
01.07.19,26,14,21,,4,0,19.3
02.07.19,26,17,22,,3,0,21.9
03.07.19,29,18,24,,3,0,24.6
04.07.19,27,21,25,,3,0,25.3
05.07.19,28,19,23,,3,14,24.0
06.07.19,28,20,24,,3,0,24.4
07.07.19,28,20,24,,3,0,24.7
08.07.19,28,20,24,,3,0,24.9
09.07.19,27,19,23,,2,0,24.4
10.07.19,28,19,24,,3,0,23.7
11.07.19,28,20,23,,2,1,24.4
12.07.19,25,19,22,,3,18,21.8
13.07.19,26,16,21,,3,0,21.0
14.07.19,25,16,21,,3,0,20.2
15.07.19,23,17,20,,3,4,19.6
16.07.19,25,17,20,,4,73,19.6
17.07.19,26,17,22,,3,0,21.8
18.07.19,27,19,22,,3,57,22.8
19.07.19,24,19,22,,2,4,23.1
20.07.19,27,19,24,,3,0,24.4
21.07.19,27,22,24,,2,0,25.8
22.07.19,26,20,22,,3,31,23.5
23.07.19,26,21,24,,3,8,25.3
24.07.19,28,21,25,,2,2,26.7
25.07.19,26,19,21,,3,11,22.0
26.07.19,26,18,22,,3,0,22.6
27.07.19,27,17,22,,4,0,21.7
28.07.19,27,19,23,,3,0,23.4
29.07.19,28,19,24,,3,0,24.4
30.07.19,32,20,26,,3,0,27.1
31.07.19,28,21,24,,2,1,26.1
01.08.19,28,20,24,,3,0,25.3
02.08.19,28,19,24,,3,0,24.9
03.08.19,28,18,23,,3,0,23.3
04.08.19,28,19,24,,4,0,23.7
05.08.19,25,15,21,,4,0,19.5
06.08.19,25,15,20,,4,0,19.0
07.08.19,26,16,21,,3,0,20.8
08.08.19,27,18,23,,3,0,22.9
09.08.19,28,19,24,,3,0,23.8
10.08.19,29,20,24,,3,0,25.0
11.08.19,30,19,24,,3,0,24.1
12.08.19,28,19,23,,4,0,23.0
13.08.19,28,19,24,,4,0,23.9
14.08.19,30,20,26,,4,0,25.4
15.08.19,31,20,27,,3,0,27.5
16.08.19,32,23,26,,3,0,27.6
17.08.19,27,21,23,,3,3,24.7
18.08.19,28,21,24,,2,61,25.8
19.08.19,28,22,25,,3,1,26.6
20.08.19,29,21,25,,2,0,27.7
21.08.19,28,23,26,,3,0,28.1
22.08.19,30,24,26,,3,1,28.3
23.08.19,29,22,26,,2,0,28.0
24.08.19,28,22,25,,2,2,26.6
25.08.19,29,21,25,,4,0,25.0
26.08.19,29,21,25,,3,0,26.4
27.08.19,29,21,25,,4,0,25.3
28.08.19,29,20,25,,3,0,25.6
29.08.19,29,20,25,,4,0,24.9
30.08.19,29,21,24,,3,0,25.0
31.08.19,28,20,24,,3,0,24.9
01.09.19,28,21,24,,4,0,24.3
02.09.19,28,20,24,,4,0,23.5
03.09.19,27,19,23,,3,0,23.2
04.09.19,28,19,23,,4,0,22.7
05.09.19,30,19,24,,3,0,23.9
06.09.19,29,20,24,,4,11,23.9
07.09.19,26,17,21,,4,2,19.9
08.09.19,27,16,21,,3,1,20.3
09.09.19,28,17,22,,4,0,20.8
10.09.19,27,18,22,,4,0,21.1
11.09.19,27,18,22,,4,0,21.2
12.09.19,26,18,22,,4,0,20.9
13.09.19,26,17,21,,4,0,20.1
14.09.19,27,17,21,,4,0,20.0
15.09.19,26,17,21,,3,0,21.0
16.09.19,26,16,21,,3,0,20.8
17.09.19,21,16,19,,2,44,19.3
18.09.19,25,15,20,,4,0,18.5
19.09.19,25,16,20,,4,0,18.5
20.09.19,26,14,21,,3,0,20.2
21.09.19,20,8,13,,4,4,10.7
22.09.19,19,8,13,,4,6,10.3
23.09.19,21,9,15,,4,0,12.2
24.09.19,22,12,17,,4,0,14.8
25.09.19,28,15,19,,4,0,17.6
26.09.19,25,16,18,,3,7,17.6
27.09.19,25,16,20,,2,0,20.3
28.09.19,22,14,18,,3,15,17.2
29.09.19,23,13,17,,4,0,15.9
30.09.19,23,13,18,,4,0,16.5
01.10.19,26,13,19,,4,0,17.3
02.10.19,24,15,19,,3,0,18.7
03.10.19,27,16,20,,4,0,18.7
04.10.19,26,16,20,,3,0,19.9
05.10.19,29,17,22,,4,0,21.0
06.10.19,22,13,17,,3,25,16.7
07.10.19,21,11,15,,3,3,14.0
08.10.19,23,14,18,,3,0,17.2
09.10.19,19,12,15,,3,13,14.1
10.10.19,23,11,17,,3,0,15.8
11.10.19,22,14,18,,3,0,17.8
12.10.19,22,12,16,,4,13,14.3
13.10.19,21,11,16,,4,0,13.5
14.10.19,23,11,17,,3,0,15.4
15.10.19,23,11,17,,3,0,15.7
16.10.19,23,11,16,,3,0,15.3
17.10.19,23,10,17,,3,0,16.1
18.10.19,24,14,18,,3,0,16.9
19.10.19,23,15,19,,3,0,18.2
20.10.19,24,14,18,,3,0,17.2
21.10.19,22,14,18,,3,0,16.9
22.10.19,24,13,17,,3,0,16.5
23.10.19,22,13,17,,4,0,14.9
24.10.19,22,12,17,,3,0,15.6
25.10.19,21,12,16,,3,0,15.1
26.10.19,21,12,16,,3,0,15.5
27.10.19,21,12,16,,3,0,15.0
28.10.19,21,12,16,,3,0,14.5
29.10.19,21,12,16,,3,0,14.5
30.10.19,16,12,14,,3,6,12.7
31.10.19,16,9,12,,3,4,10.0
01.11.19,14,10,11,,2,2,10.0
02.11.19,13,7,10,,3,0,7.4
03.11.19,16,6,10,,4,0,6.5
04.11.19,19,6,11,,5,0,7.4
05.11.19,21,7,14,,4,0,10.5
06.11.19,21,11,16,,4,0,13.0
07.11.19,24,10,17,,4,0,14.7
08.11.19,24,12,17,,4,0,13.7
09.11.19,21,10,15,,4,0,12.4
10.11.19,22,8,15,,4,0,11.7
11.11.19,23,8,14,,3,0,12.0
12.11.19,21,8,13,,2,0,11.7
13.11.19,21,8,14,,4,0,10.7
14.11.19,21,6,14,,4,0,10.4
15.11.19,22,7,13,,3,0,9.9
16.11.19,18,6,11,,4,0,8.1
17.11.19,17,7,10,,4,0,6.9
18.11.19,18,5,10,,4,0,6.9
19.11.19,17,5,10,,4,0,6.4
20.11.19,18,8,12,,4,0,8.9
21.11.19,15,8,11,,4,3,8.4
22.11.19,16,6,11,,4,5,7.3
23.11.19,17,5,8,,4,0,5.1
24.11.19,14,4,8,,4,0,4.8
25.11.19,16,5,9,,3,0,6.6
26.11.19,17,4,11,,4,0,7.5
27.11.19,18,11,14,,3,1,12.1
28.11.19,14,8,11,,4,40,8.4
29.11.19,18,8,13,,5,0,9.5
30.11.19,16,8,13,,5,17,9.5
01.12.19,15,7,10,,4,12,6.8
02.12.19,7,4,5,,2,9,3.0
03.12.19,11,2,6,,4,0,2.6
04.12.19,8,1,4,,4,24,0.2
05.12.19,11,1,4,,5,0,-0.5
06.12.19,12,2,5,,5,0,0.1
07.12.19,13,1,6,,5,0,1.1
08.12.19,13,1,7,,4,0,3.5
09.12.19,12,5,9,,3,0,5.9
10.12.19,14,4,8,,4,0,4.1
11.12.19,15,3,8,,4,0,3.8
12.12.19,17,2,9,,4,0,5.0
13.12.19,16,4,10,,5,0,5.4
14.12.19,18,10,14,,3,0,11.1
15.12.19,18,10,13,,3,0,11.0
16.12.19,14,7,10,,2,6,8.3
17.12.19,14,7,9,,3,0,6.5
18.12.19,17,4,9,,4,0,5.3
19.12.19,16,5,9,,3,0,6.1
20.12.19,14,4,8,,3,0,4.8
21.12.19,19,3,9,,3,0,5.7
22.12.19,17,3,11,,4,0,7.1
23.12.19,20,11,15,,4,0,11.4
24.12.19,22,9,17,,6,0,12.6
25.12.19,21,13,17,,4,0,14.2
26.12.19,19,9,13,,2,0,11.1
27.12.19,13,7,10,,3,0,8.1
28.12.19,11,6,8,,2,29,6.5
29.12.19,13,5,8,,2,0,6.3
30.12.19,15,6,9,,3,1,6.8
31.12.19,11,7,9,,2,4,6.8
